timesteps,episode_reward,tardiness
969,-226.99917087493927,1165
1938,-214.2365458498256,1041
2907,-220.90819074928632,1092
3876,-215.85832825794105,973
4845,-219.726764342164,1052
5814,-224.8387227770684,1186
6783,-211.75506759737067,1095
7752,-215.6985138242295,1024
8721,-227.8460466792039,1125
9690,-216.6163172613884,1064
10659,-226.28258618462715,1077
11628,-233.58256940993957,1117
12597,-218.66735644801338,1132
13566,-212.57256500987572,984
14535,-221.06739568847945,1089
15504,-226.1261446368887,1073
16473,-223.1594897967831,1145
17442,-236.02172317332935,1191
18411,-211.4997420974176,1119
19380,-225.71036957432432,1039
20349,-239.51914243020775,1125
21318,-223.33546226154238,1217
22287,-222.8657581057284,1112
23256,-220.55187357714487,1147
24225,-223.12798819898694,1058
25194,-221.6730120196603,1055
26163,-221.29110062364444,1120
27132,-216.3556639772613,1095
28101,-199.3397996443799,956
29070,-220.65611285395056,1087
30039,-218.88523184581328,1147
31008,-217.95140144340112,1038
31977,-225.15537307980665,1089
32946,-218.76432456153353,1113
33915,-210.98154907004178,1073
34884,-214.45673298566808,1047
35853,-215.80935453268933,1101
36822,-220.38817876249004,1044
37791,-218.4266002245844,1182
38760,-220.70662282364123,1095
39729,-204.41962642402694,1052
40698,-204.35220071527758,1008
41667,-208.84426684293686,1082
42636,-206.83244837941052,992
43605,-211.87406099772093,1079
44574,-208.15105835236136,990
45543,-207.46131033955194,1036
46512,-203.45482101177848,959
47481,-210.59805860300202,1021
48450,-197.77555754817388,997
49419,-199.934115952973,976
50388,-208.8620940107212,1046
51357,-214.0099577176781,1088
52326,-198.96827073291865,1012
53295,-204.31387082260238,995
54264,-211.89728944665754,1029
55233,-209.22220283687273,1023
56202,-196.74701270953642,1004
57171,-203.36169192110893,988
58140,-201.61760559315414,974
59109,-200.31561747224745,998
60078,-203.96193559439928,1067
61047,-213.30427156131006,1000
62016,-206.83957332196968,1031
62985,-210.5139061301743,978
63954,-208.60973649522091,996
64923,-205.18992726005553,939
65892,-213.39087261333287,1103
66861,-206.07307456737175,1052
67830,-199.14562189574062,979
68799,-205.8023573667045,1068
69768,-205.92980920734152,972
70737,-205.6165767473414,1062
71706,-208.87519372509124,1039
72675,-203.29898132478604,996
73644,-205.71417072986992,1016
74613,-205.7987944936136,1063
75582,-195.473273441111,1056
76551,-195.615925649147,954
77520,-194.52147742725333,967
78489,-202.1864506790668,1041
79458,-208.08337510207355,989
80427,-189.39683864622836,985
81396,-195.29071499010115,989
82365,-196.35798542713928,1021
83334,-199.99977489600343,986
84303,-209.71918469588334,1054
85272,-196.59078439017665,978
86241,-206.80523907865597,986
87210,-200.57323104797675,999
88179,-195.88317627829377,980
89148,-197.64642220307374,1018
90117,-202.1120170410993,1011
91086,-195.76795764816015,1025
92055,-198.65197144955425,1011
93024,-202.7801228995147,1015
93993,-201.14050521838024,1041
94962,-193.1370682868376,992
95931,-195.26731148832224,974
96900,-197.8087577997151,1007
97869,-199.75107255103552,1021
98838,-198.24798293551842,997
99807,-203.57253660180888,1048
100776,-189.18370525554892,1017
101745,-198.2966761156192,1000
102714,-188.4183891808918,987
103683,-192.09031069738683,1002
104652,-189.86559549172912,1032
105621,-201.5190361576334,991
106590,-196.0639151099163,973
107559,-203.34188630704824,1028
108528,-199.5886319277972,1039
109497,-200.74191372989097,1141
110466,-191.5744938270095,959
111435,-193.34501375356928,989
112404,-195.5004705612377,967
113373,-202.96327063585946,999
114342,-196.64200218468068,972
115311,-194.91870729661153,980
116280,-201.8125254212607,1031
117249,-182.49990494661134,1018
118218,-191.2754085434958,997
119187,-189.50922455612445,979
120156,-208.07741971093867,1032
121125,-196.66318356155037,962
122094,-191.6277524203391,1000
123063,-196.58549925270722,1032
124032,-196.68410728271033,929
125001,-199.23098309318732,1009
125970,-197.98376062843232,968
126939,-192.5064183122801,1007
127908,-190.20218059854062,993
128877,-200.25764901609176,969
129846,-194.97011802607796,977
130815,-203.14726656718466,1028
131784,-184.85970583750833,933
132753,-197.23864955890073,977
133722,-200.44440524579178,1026
134691,-199.01364766694542,1035
135660,-198.00675633894892,996
136629,-193.4448634841785,989
137598,-196.7932477465157,960
138567,-199.78979299531798,1034
139536,-197.27593013718882,1036
140505,-199.290935130542,1005
141474,-185.87916675567678,976
142443,-205.58104909054148,1047
143412,-197.57273113649646,961
144381,-198.24657787008317,970
145350,-195.99414256657036,971
146319,-201.38570588996274,1001
147288,-192.0041343294075,957
148257,-195.32199289705676,963
149226,-193.12758687997297,1016
150195,-195.72473101120696,973
151164,-188.9365374005465,980
152133,-195.67463853093778,971
153102,-187.21951438396576,1027
154071,-187.2739457495569,924
155040,-196.53056055134073,1120
156009,-199.4948040356866,987
156978,-199.97539060701513,985
157947,-191.45362189141025,977
158916,-188.87236201734734,962
159885,-196.08812794875664,971
160854,-188.6639324484817,971
161823,-196.1261087435513,1088
162792,-196.42821557270133,979
163761,-197.88456267113975,1031
164730,-196.65071586020372,990
165699,-192.52643402157418,949
166668,-191.21385703274666,1008
167637,-196.16561817936318,1083
168606,-198.16551667041438,1030
169575,-192.25902204121627,978
170544,-195.54676879072252,1008
171513,-193.06895639666817,1058
172482,-194.15964409582386,1010
173451,-200.51410072919583,1010
174420,-192.36129415305126,1062
175389,-195.44979794943325,1024
176358,-186.2804011922473,942
177327,-195.14721622399964,1003
178296,-197.01449982838432,994
179265,-199.09944643767074,1058
180234,-194.66174437340396,1032
181203,-194.66741484402834,1005
182172,-202.39753161864897,1032
183141,-196.68676405331135,983
184110,-192.70674330453406,1000
185079,-190.15960180304717,934
186048,-196.12521471060214,1021
187017,-194.839309039141,1057
187986,-201.61466512478376,1028
188955,-199.18920044621564,1049
189924,-198.1999252811709,1016
190893,-198.52407735278092,1006
191862,-194.67018941583623,1011
192831,-196.44466112524123,1042
193800,-195.1554169646202,956
194769,-199.4332014739722,1052
195738,-187.04014171329737,1043
196707,-183.24271724745427,964
197676,-194.94276391185437,1009
198645,-196.2391793184882,975
199614,-199.19312357810412,1124
200583,-198.14003170676614,993
201552,-197.60730804733822,1067
202521,-194.9971606657432,1044
203490,-199.91931339455613,1032
204459,-197.803874693136,1063
205428,-189.36623204497047,1015
206397,-197.37039787881753,1005
207366,-194.3476795908169,990
208335,-176.81939533428374,970
209304,-191.89024631997205,992
210273,-191.45878526843146,1006
211242,-194.3603210431699,1053
212211,-198.22140919734238,1013
213180,-187.02969183492294,915
214149,-189.6095593337768,956
215118,-195.2266834865316,944
216087,-194.15040024522602,958
217056,-185.58167554658598,938
218025,-189.51194555171247,926
218994,-200.46944026584566,1076
219963,-198.16204096530504,1032
220932,-188.57422524325364,993
221901,-189.36428143321615,971
222870,-204.13946177347842,1022
223839,-190.0755695151267,963
224808,-194.0995271420455,968
225777,-199.10774368235286,1043
226746,-192.3527105457899,925
227715,-194.285574870973,946
228684,-197.06666451957435,1057
229653,-190.3861580678774,946
230622,-194.35757651158474,1011
231591,-198.98868491989307,1033
232560,-195.0653213989596,1057
233529,-191.07670829817903,1000
234498,-192.04354470787933,941
235467,-185.1242574264561,983
236436,-198.68603151463302,1014
237405,-184.09379832562627,964
238374,-194.92096718203962,1009
239343,-196.68579648861018,1007
240312,-196.57003751492206,988
241281,-196.69940459613832,985
242250,-185.57642149501297,973
243219,-189.16002220521793,936
244188,-198.33281586618446,974
245157,-196.46070658000542,1068
246126,-193.16608745178985,1022
247095,-185.56616758818214,997
248064,-192.01405971582042,930
249033,-202.10042520400947,1068
250002,-197.59827859389512,1021
250971,-189.9791248455866,1021
251940,-193.72829104807235,983
252909,-184.0386961253518,922
253878,-195.57899264568994,953
254847,-194.82121512804767,979
255816,-192.04109199368253,925
256785,-196.4925537867457,990
257754,-189.68113087959136,1039
258723,-200.66119339629353,1041
259692,-194.85419443052112,973
260661,-191.4588016324035,984
261630,-189.1210490913587,967
262599,-187.95454717446742,943
263568,-183.44972212927564,960
264537,-186.2112793822089,929
265506,-188.95043800881905,948
266475,-190.54614374163953,959
267444,-212.5862270187413,1029
268413,-191.39365396908252,911
269382,-199.2758622797839,1037
270351,-196.57315017363675,982
271320,-194.37555920853825,1041
272289,-196.42942644077107,982
273258,-196.6244794182241,1029
274227,-199.7208804026501,969
275196,-191.75825657450136,1043
276165,-184.71194272242664,1015
277134,-200.50967144367849,969
278103,-194.85118446175795,951
279072,-190.24742283502536,1049
280041,-186.52755118757565,941
281010,-202.21847284266528,1077
281979,-190.685906010565,996
282948,-189.09412791530096,960
283917,-201.24765852771134,986
284886,-194.79921442075334,949
285855,-195.46969279743723,941
286824,-187.81397300992154,959
287793,-183.49517743885943,955
288762,-193.71653804426614,970
289731,-190.78374039503177,929
290700,-199.1647605619439,1038
291669,-185.040281033407,915
292638,-193.3080919819239,961
293607,-197.07227437442626,972
294576,-195.8373709281469,976
295545,-184.86066511273907,967
296514,-190.35287035953843,950
297483,-188.92115014496238,991
298452,-192.5141934818974,1016
299421,-191.68801030152972,1014
300390,-198.36726860764034,1044
301359,-194.1937045435504,996
302328,-187.92904888408592,1007
303297,-182.9262020941123,942
304266,-190.52886635296537,1027
305235,-189.80975977107096,962
306204,-196.69446612230348,1060
307173,-187.2003340830937,991
308142,-195.83009042624104,1000
309111,-188.89185806527937,953
310080,-197.21517875941402,1026
311049,-187.41259964499136,935
312018,-192.6119707579525,993
312987,-189.60623103389298,942
313956,-186.56902281303456,945
314925,-198.23017013169115,987
315894,-187.70882990673798,914
316863,-188.26773848774098,972
317832,-194.07675469307515,981
318801,-193.37889334401348,1040
319770,-201.11349714263545,1031
320739,-190.62494466181417,988
321708,-190.65174949678953,988
322677,-199.60164004601052,1038
323646,-198.21849217816373,967
324615,-189.36604135919058,998
325584,-188.1222747358337,983
326553,-188.22218113947088,992
327522,-191.3593288560213,1002
328491,-187.6202399458033,1018
329460,-198.52764097154486,987
330429,-189.3375054199395,941
331398,-192.9513946365162,967
332367,-189.68040671143496,949
333336,-196.94967893896793,997
334305,-203.08536536372375,1011
335274,-196.2642127542335,1019
336243,-188.94037638079385,960
