timesteps,lambda_rate,episode_reward,tardiness
1470,0.12,-209.92633915023853,1222
2151,0.11,-194.6805451689808,645
2742,0.1,-141.11246281345817,521
2958,0.12,0.0,0
4320,0.11,-3.5051135411233036,4
4338,0.12,-137.37353051374345,300
5616,0.1,0.0,0
5817,0.12,-30.521847379842683,34
6450,0.11,-7.930956384001124,11
7269,0.12,-21.8404939284053,17
8547,0.1,-42.22375156657278,48
8658,0.11,-2.041376907102594,1
8736,0.12,-237.92179138145207,879
10137,0.12,-87.37354615100301,260
10776,0.11,-190.24106431832058,991
11523,0.12,-263.5487400643506,1383
11526,0.1,-3.9092663692205525,6
12969,0.11,-154.30509467785174,301
13029,0.12,-49.18771878667726,91
14448,0.1,-202.58104240680387,825
14502,0.12,-17.058649400483528,23
15120,0.11,-84.57586853852932,176
15903,0.12,-89.5288967691393,173
17226,0.11,-300.6149153241166,1173
17352,0.12,-24.09844436892776,47
17358,0.1,-46.49145760229118,74
18777,0.12,-296.210129760522,2289
19440,0.11,-26.111302113740756,30
20178,0.1,-58.8567724343912,74
20205,0.12,-213.45247420873577,957
21585,0.11,-5.513810700461545,8
21711,0.12,-12.638076261627301,20
23022,0.1,-197.919338730097,663
23187,0.12,-74.36019995976267,94
23784,0.11,-109.95570216333802,171
24675,0.12,-94.58596480240169,172
25941,0.1,-18.7999757440541,17
26040,0.11,-40.03516670353066,79
26139,0.12,-23.58724848079005,36
27558,0.12,-114.10703475237118,384
28263,0.11,-481.87067048180364,3488
28878,0.1,0.0,0
29031,0.12,-246.796035539831,859
30252,0.11,-59.03487573709136,113
30492,0.12,-58.11008264407184,74
31812,0.1,-40.32490968801662,45
32007,0.12,-63.72880496693185,60
32409,0.11,-19.800685021558454,21
33474,0.12,-175.563301729149,609
34566,0.11,-27.266821590107856,20
34782,0.1,-9.922032023868761,9
34959,0.12,-63.565783026408816,48
36504,0.12,-36.40710333850447,26
36822,0.11,-188.84327042622542,491
37764,0.1,-438.87681810627026,2643
38001,0.12,-257.0836349805572,1015
38964,0.11,-51.83141966146798,92
39525,0.12,-265.9796110195874,1515
40671,0.1,-54.849899944499796,102
41067,0.12,-126.73567867084206,262
41124,0.11,-144.73921856527792,337
42555,0.12,-166.99002252655518,381
43329,0.11,-226.11271214000988,671
43545,0.1,-6.6288820014633,2
44004,0.12,-196.95800849554226,593
45465,0.12,-34.83777619924262,23
