timesteps,lambda_rate,episode_reward,tardiness
1470,0.12,-213.60418663157972,1173
1470,0.12,-218.88647050136714,1232
1470,0.12,-214.9019382133041,1265
2958,0.12,0.0,0
2958,0.12,-7.665831048531172,6
2958,0.12,0.0,0
4338,0.12,-123.325597949304,278
4338,0.12,-126.7577989431558,249
4338,0.12,-128.58519933946798,238
5817,0.12,-38.67153534061346,44
5817,0.12,-24.375586689880876,36
5817,0.12,-16.108157437838432,25
7269,0.12,0.0,0
7269,0.12,-7.200361803076738,6
7269,0.12,-3.748989998382432,2
8736,0.12,-232.91466969979686,857
8736,0.12,-235.06633098070182,874
8736,0.12,-240.2558871475508,888
10137,0.12,-80.40750277866661,259
10137,0.12,-93.45218398614058,294
10137,0.12,-86.59127268831391,269
11523,0.12,-259.4169248360505,1433
11523,0.12,-266.0896157297578,1457
11523,0.12,-265.34734810074673,1422
13029,0.12,-44.228815907649526,72
13029,0.12,-47.219828466881864,94
13029,0.12,-59.28308127277963,72
14502,0.12,-7.778814483812664,8
14502,0.12,-15.479653016369753,6
14502,0.12,-5.446842198868572,2
15903,0.12,-99.23857992822587,197
15903,0.12,-89.47191105269043,156
15903,0.12,-79.49657131374455,170
17352,0.12,-40.88857516588768,40
17352,0.12,-39.141238543221085,61
17352,0.12,-13.768269652913414,9
18777,0.12,-288.44361627023846,2310
18777,0.12,-296.24338451882096,2301
18777,0.12,-295.3399047656826,2256
20205,0.12,-212.1139485443864,988
20205,0.12,-214.16870767887286,992
20205,0.12,-215.35764549465244,929
21711,0.12,-27.236379647325002,33
21711,0.12,-13.604478403439826,21
21711,0.12,-25.36465678806103,33
23187,0.12,-68.86934975757849,116
23187,0.12,-89.41481247564674,133
23187,0.12,-82.20921702458118,108
24675,0.12,-92.38377595234573,142
24675,0.12,-103.03538801605302,197
24675,0.12,-95.54470431414549,161
26139,0.12,-17.08765381364959,25
26139,0.12,-30.942062628935993,22
26139,0.12,-17.040969993955134,23
27558,0.12,-112.10785810304682,335
27558,0.12,-112.8758890379937,353
27558,0.12,-111.706959446612,357
29031,0.12,-241.4283377715369,827
29031,0.12,-234.03356312071713,797
29031,0.12,-235.31162470816056,829
30492,0.12,-67.52832171112719,91
30492,0.12,-47.161760106293556,55
30492,0.12,-62.07217964548251,86
32007,0.12,-60.07475861583144,62
32007,0.12,-70.53076566753279,92
32007,0.12,-74.80178445789686,88
