timesteps,lambda_rate,episode_reward,tardiness
1470,0.12,-221.53072148417283,1296
1470,0.12,-200.4456248568781,1178
1470,0.12,-212.0717717874249,1170
2958,0.12,-11.822200055814442,7
2958,0.12,0.0,0
2958,0.12,0.0,0
4338,0.12,-136.1617038053782,282
4338,0.12,-131.07661636899007,269
4338,0.12,-116.57215778834927,286
5817,0.12,-29.336161430719248,27
5817,0.12,-25.77868129205364,37
5817,0.12,-28.456722895325694,36
7269,0.12,-7.92332140779731,9
7269,0.12,-4.399916215724267,10
7269,0.12,0.0,0
8736,0.12,-234.21850554484723,849
8736,0.12,-234.21639406051307,854
8736,0.12,-238.75611825751693,924
10137,0.12,-79.12619271064791,262
10137,0.12,-77.56047833252549,241
10137,0.12,-84.27733732851485,274
11523,0.12,-264.25941169613145,1423
11523,0.12,-265.3880582128976,1423
11523,0.12,-263.9105363410811,1467
13029,0.12,-38.045218475104484,69
13029,0.12,-54.25007606594677,132
13029,0.12,-55.71061889601411,117
14502,0.12,-9.516929393679503,16
14502,0.12,-27.078252119116396,18
14502,0.12,-9.205109454591511,8
15903,0.12,-90.90444296644509,183
15903,0.12,-75.61908708961415,136
15903,0.12,-74.10308031245184,148
17352,0.12,-25.756099070079625,38
17352,0.12,-30.39374536282217,31
17352,0.12,-18.434422211191453,24
18777,0.12,-297.87458519151204,2354
18777,0.12,-298.8147195867528,2301
18777,0.12,-297.985348907768,2286
20205,0.12,-228.7206698315591,978
20205,0.12,-228.80133311764897,1005
20205,0.12,-219.6870355883908,1003
21711,0.12,-11.535520162975534,10
21711,0.12,-19.92911103823979,15
21711,0.12,-16.391332237108372,14
23187,0.12,-68.37894724764857,94
23187,0.12,-74.69075119413962,141
23187,0.12,-82.0558741889782,130
24675,0.12,-98.92144693712787,164
24675,0.12,-108.47952737386282,193
24675,0.12,-98.17269954014367,179
26139,0.12,-32.77007268856624,43
26139,0.12,-36.695131253924075,27
26139,0.12,-41.04342905573735,36
27558,0.12,-112.73677933675691,325
27558,0.12,-121.39174723374943,369
27558,0.12,-119.83106779837118,371
29031,0.12,-233.3027681114841,819
29031,0.12,-235.58303980464282,865
29031,0.12,-238.02149007601324,872
30492,0.12,-65.96437554712294,84
30492,0.12,-96.67298734512018,139
30492,0.12,-101.70764999202345,125
32007,0.12,-73.17974546756085,105
32007,0.12,-63.80455860799411,92
32007,0.12,-71.44831737684572,85
33474,0.12,-177.1550183978754,652
33474,0.12,-171.9368175423761,662
33474,0.12,-182.18788726936657,664
34959,0.12,-67.00095387762322,75
34959,0.12,-86.35447109474842,135
34959,0.12,-94.60344138296142,143
36504,0.12,-45.574883529141665,55
36504,0.12,-50.873785427145116,61
36504,0.12,-37.099981810721815,48
38001,0.12,-258.04060753981906,1079
38001,0.12,-252.00570368109095,1065
38001,0.12,-252.07325811887839,1095
39525,0.12,-265.1339941620293,1519
39525,0.12,-269.5729639079642,1527
39525,0.12,-270.0460796284041,1548
41067,0.12,-146.14352364808545,283
41067,0.12,-112.00461216248381,250
41067,0.12,-119.87351379467354,258
42555,0.12,-182.99079824109552,449
42555,0.12,-184.8448520150303,413
42555,0.12,-170.96295420752023,416
44004,0.12,-182.9710913562435,503
44004,0.12,-186.21480027533957,540
44004,0.12,-189.6716021652359,527
45465,0.12,-20.115369610001995,17
45465,0.12,-37.73178756916023,36
45465,0.12,-20.115369610001995,17
46917,0.12,-24.028132832577466,30
46917,0.12,-6.315291464419634,10
46917,0.12,-9.872049983014612,8
48399,0.12,-100.51531545605539,206
48399,0.12,-101.18054661928446,222
48399,0.12,-106.90461605176401,237
49941,0.12,-70.83167956312516,109
49941,0.12,-77.3432048892765,113
49941,0.12,-69.18976161031522,91
51447,0.12,-161.51393674054697,468
51447,0.12,-169.6151572941179,459
51447,0.12,-157.6799318600117,425
52860,0.12,-6.500115446360178,7
52860,0.12,-7.2105323012404625,6
52860,0.12,-8.212435240735259,11
54330,0.12,-29.77529877661327,42
54330,0.12,-39.6558254943674,36
54330,0.12,-35.77877231912544,29
55821,0.12,-260.35020168412217,1300
55821,0.12,-255.3377689941252,1333
55821,0.12,-256.7761761915594,1249
57270,0.12,-7.713865933410844,2
57270,0.12,-7.713865933410844,2
57270,0.12,-7.713865933410844,2
58797,0.12,-255.0797248461448,1055
58797,0.12,-264.27300850418777,1051
58797,0.12,-258.6126839269367,1046
60261,0.12,-9.4589071666694,14
60261,0.12,-10.805679908906626,14
60261,0.12,-10.805679908906626,14
61791,0.12,-92.55682765249827,235
61791,0.12,-94.51597179906568,235
61791,0.12,-86.96145274186819,224
63315,0.12,-246.97832799022538,1165
63315,0.12,-244.89169267938752,1209
63315,0.12,-240.809399131586,1185
64803,0.12,-16.623996756682786,22
64803,0.12,-25.516029962626845,29
64803,0.12,-11.658278288953465,23
66273,0.12,-147.9703150757174,292
66273,0.12,-128.47750969210904,256
66273,0.12,-145.19618521192052,261
67698,0.12,-13.18592109778948,14
67698,0.12,-13.38206273509665,15
67698,0.12,-11.259450524601846,8
69210,0.12,-53.269556395390175,56
69210,0.12,-56.8592885393298,74
69210,0.12,-50.35542680248841,65
70650,0.12,-48.26619533679802,71
70650,0.12,-47.86281239489419,70
70650,0.12,-51.01861586465594,67
72108,0.12,-32.28031160650952,58
72108,0.12,-34.87016199038479,42
72108,0.12,-38.77256598868796,45
73548,0.12,-129.61656507547667,186
73548,0.12,-103.36944652541195,167
73548,0.12,-119.1207907428464,211
75036,0.12,-0.647081072326205,1
75036,0.12,-0.647081072326205,1
75036,0.12,-0.647081072326205,1
76545,0.12,-196.6536743406596,568
76545,0.12,-198.5253560706634,625
76545,0.12,-172.7270540741517,574
77973,0.12,0.0,0
77973,0.12,0.0,0
77973,0.12,0.0,0
79503,0.12,-89.1843674336428,173
79503,0.12,-86.47362647239412,179
79503,0.12,-80.28561632987466,134
80976,0.12,0.0,0
80976,0.12,0.0,0
80976,0.12,0.0,0
82392,0.12,-30.75108585757338,46
82392,0.12,-33.8285930387018,66
82392,0.12,-35.1480322381593,63
83856,0.12,-210.01199518721975,480
83856,0.12,-189.9029550508323,446
83856,0.12,-200.32522953187262,506
85314,0.12,-119.86978311984657,389
85314,0.12,-120.33325327140088,390
85314,0.12,-121.26787852583593,389
86811,0.12,-263.9037623663883,1330
86811,0.12,-265.320762264861,1311
86811,0.12,-263.4060043300371,1305
88302,0.12,-52.026973914325964,119
88302,0.12,-51.258575852776964,123
88302,0.12,-45.62793070389324,99
89847,0.12,-0.8869695868888965,1
89847,0.12,-0.9966859721615057,1
89847,0.12,-0.9966859721615057,1
91314,0.12,-37.298731913502856,41
91314,0.12,-32.63885057191023,41
91314,0.12,-32.867598225578746,41
92769,0.12,-169.51611139086458,417
92769,0.12,-182.81690215265638,382
92769,0.12,-180.1100149002547,377
94203,0.12,-38.788715249035455,56
94203,0.12,-50.7454900695064,95
94203,0.12,-40.725122385262594,76
95739,0.12,-88.1458649440046,252
95739,0.12,-96.41359405203815,210
95739,0.12,-104.6474110100497,206
97194,0.12,-94.5984000461081,255
97194,0.12,-88.22000750720902,261
97194,0.12,-86.06262879368931,259
98718,0.12,-39.38742800035558,53
98718,0.12,-33.18064098155579,42
98718,0.12,-38.35805718393347,47
100254,0.12,-11.305062045983775,12
100254,0.12,-11.38345708629618,9
100254,0.12,-14.625288518299742,10
101724,0.12,-85.17798882150221,106
101724,0.12,-102.97717581531633,138
101724,0.12,-85.06490884957282,162
103170,0.12,0.0,0
103170,0.12,-3.5260402864734943,2
103170,0.12,0.0,0
104628,0.12,-177.70642184712028,459
104628,0.12,-167.48870563761272,466
104628,0.12,-169.950781628394,488
106149,0.12,-131.76205261078564,385
106149,0.12,-133.7940081076793,390
106149,0.12,-126.32042088026284,381
107667,0.12,-292.9821213643148,1647
107667,0.12,-293.86423082874916,1684
107667,0.12,-286.70273961891445,1683
109098,0.12,0.0,0
109098,0.12,0.0,0
109098,0.12,-6.62522214302055,3
110511,0.12,-7.197833086100759,3
110511,0.12,-4.717963304619737,3
110511,0.12,0.0,0
111987,0.12,-1.1560443093092725,2
111987,0.12,-9.084266932952586,6
111987,0.12,-2.553546875137755,3
113457,0.12,-16.948945194006313,11
113457,0.12,-18.65814299935899,12
113457,0.12,-21.355674984682892,16
115011,0.12,-33.15743885035184,29
115011,0.12,-40.55734019517758,39
115011,0.12,-39.110964181337025,36
116490,0.12,-72.95384515435256,153
116490,0.12,-31.16581588104611,27
116490,0.12,-58.02378943873568,61
118023,0.12,-7.647012489682134,4
118023,0.12,-7.765888944431942,4
118023,0.12,-12.041809096822854,14
119517,0.12,-198.85868931445452,555
119517,0.12,-194.43705641182484,545
119517,0.12,-188.91283756399545,549
120915,0.12,-215.25096950562929,977
120915,0.12,-208.48630871233232,903
120915,0.12,-202.05321518694208,952
122376,0.12,-88.12222673047556,177
122376,0.12,-91.41720037413265,174
122376,0.12,-88.690783447319,177
123849,0.12,-60.91195983655422,103
123849,0.12,-58.04620866765405,55
123849,0.12,-66.9942487704303,67
125301,0.12,-85.78009773383668,178
125301,0.12,-84.15109724911197,172
125301,0.12,-88.11733389438317,176
126708,0.12,-3.364111735106309,2
126708,0.12,0.0,0
126708,0.12,0.0,0
128181,0.12,-152.22904747107142,316
128181,0.12,-144.1292985129902,318
128181,0.12,-142.59827755489712,320
129636,0.12,0.0,0
129636,0.12,0.0,0
129636,0.12,0.0,0
131103,0.12,-259.28519897907387,1366
131103,0.12,-257.57077415787234,1292
131103,0.12,-259.5462713520144,1341
132597,0.12,-16.467061411058708,12
132597,0.12,-16.479310563578853,14
132597,0.12,-26.953658949399465,17
134070,0.12,-55.422489228438955,82
134070,0.12,-45.06766562973908,36
134070,0.12,-64.98277022492131,83
135579,0.12,-247.52137617543744,1288
135579,0.12,-253.08072340531248,1263
135579,0.12,-248.54392307269936,1331
137043,0.12,-175.74021509059997,602
137043,0.12,-165.39088587611116,586
137043,0.12,-180.64477685335928,635
138486,0.12,0.0,0
138486,0.12,0.0,0
138486,0.12,-16.630345842996896,11
140001,0.12,-22.34360982276398,31
140001,0.12,-33.85458370411578,26
140001,0.12,-25.363382486867554,13
141510,0.12,0.0,0
141510,0.12,0.0,0
141510,0.12,0.0,0
143010,0.12,-252.84126529836269,979
143010,0.12,-252.07613516092349,1017
143010,0.12,-252.26723348082393,1018
144450,0.12,-115.20400143935912,350
144450,0.12,-115.20400143935912,350
144450,0.12,-111.44247084419496,344
145932,0.12,-27.80899208339096,59
145932,0.12,-29.270864783415917,68
145932,0.12,-27.214824186371555,60
147396,0.12,-118.63310728299044,203
147396,0.12,-97.65825439784133,193
147396,0.12,-89.55899467674826,196
148890,0.12,-66.59637689708067,176
148890,0.12,-78.53269514959628,189
148890,0.12,-67.37712887221971,181
150354,0.12,0.0,0
150354,0.12,0.0,0
150354,0.12,0.0,0
151743,0.12,-45.2186068778654,45
151743,0.12,-46.798846419342624,64
151743,0.12,-45.61023521594412,59
153237,0.12,-95.77639731486968,208
153237,0.12,-86.12925140301996,265
153237,0.12,-86.12925140301996,265
154782,0.12,-86.67001999083634,188
154782,0.12,-101.18148735868427,195
154782,0.12,-84.11050773919827,164
156285,0.12,-17.84529489142278,20
156285,0.12,-14.76474223111028,7
156285,0.12,-17.467234740862402,18
157692,0.12,-49.888336885020045,48
157692,0.12,-17.479444133166034,20
157692,0.12,-48.346066879921395,38
159198,0.12,-278.9425171209914,1436
159198,0.12,-278.754387577627,1418
159198,0.12,-281.82944334384155,1393
160728,0.12,-194.37346634008546,803
160728,0.12,-197.54027473278757,836
160728,0.12,-182.59881439539853,828
162201,0.12,-193.36882344409895,492
162201,0.12,-192.70209175570224,508
162201,0.12,-186.86115991703795,527
163692,0.12,-89.5911501036847,283
163692,0.12,-90.32646651600082,293
163692,0.12,-90.71085483177274,309
165198,0.12,-96.29647306482492,199
165198,0.12,-105.34463601516902,216
165198,0.12,-98.40781973352954,205
166770,0.12,-286.36656714916444,1695
166770,0.12,-283.54607200430985,1695
166770,0.12,-281.46997744368156,1759
168246,0.12,-97.78023337124718,257
168246,0.12,-101.03080683837356,260
168246,0.12,-97.78023337124718,257
169722,0.12,-24.911178078868332,25
169722,0.12,-44.91938594945791,48
169722,0.12,-21.187185007657703,23
171207,0.12,0.0,0
171207,0.12,0.0,0
171207,0.12,0.0,0
172716,0.12,-48.75605552339058,71
172716,0.12,-36.17353587562906,47
172716,0.12,-43.80714502587107,63
174165,0.12,-71.92148387311039,127
174165,0.12,-71.85760485628458,135
174165,0.12,-82.38319874026546,137
175626,0.12,-49.39135489529028,90
175626,0.12,-48.12852772909103,82
175626,0.12,-62.141980898770846,96
177027,0.12,-170.74729242161712,716
177027,0.12,-172.79434738803116,728
177027,0.12,-172.6841322555526,705
178563,0.12,-18.58283718362229,23
178563,0.12,-2.6191831532253134,6
178563,0.12,-11.747300072812035,15
179991,0.12,-8.781973407639214,5
179991,0.12,-8.781973407639214,5
179991,0.12,-18.679634486030334,11
181413,0.12,-52.34486186449761,46
181413,0.12,-49.69558467230845,44
181413,0.12,-57.86497984914786,49
182934,0.12,-13.021434475515875,9
182934,0.12,-15.18857024261053,7
182934,0.12,-11.825440719657662,7
184353,0.12,-112.30062619268342,430
184353,0.12,-109.00247150669577,395
184353,0.12,-113.00234054538383,409
185829,0.12,0.0,0
185829,0.12,-0.6761568700424655,1
185829,0.12,-6.610243432614408,3
187332,0.12,-186.7075944611347,635
187332,0.12,-207.1831217462508,611
187332,0.12,-198.52930993881404,599
188871,0.12,-312.2448436586586,2201
188871,0.12,-307.5946849361892,2151
188871,0.12,-310.14439602640357,2164
190380,0.12,-84.42446355360428,133
190380,0.12,-86.11716567874055,122
190380,0.12,-91.32598893533978,143
191853,0.12,-156.42673830037555,351
191853,0.12,-150.95952060141104,345
191853,0.12,-142.9240110478923,302
193266,0.12,-73.3576640730218,148
193266,0.12,-74.060881254286,120
193266,0.12,-73.3385898790841,148
194727,0.12,-154.34399294256627,276
194727,0.12,-140.49884108313313,292
194727,0.12,-153.98264047877822,327
196227,0.12,-87.30203489140035,157
196227,0.12,-73.37150377090383,79
196227,0.12,-97.58671148072706,145
197745,0.12,-264.65535791783304,1263
197745,0.12,-273.12187223632577,1205
197745,0.12,-263.3422512983719,1192
199200,0.12,-209.89978945682714,747
199200,0.12,-206.71665049683634,782
199200,0.12,-217.25980185567286,776
