timesteps,lambda_rate,episode_reward,tardiness
250,0.05,-73.84034183888423,439
500,0.05,-73.91051632646456,506
750,0.05,-88.18929207760812,487
1000,0.05,-76.03288962601259,428
1250,0.05,-86.11875038242765,460
1500,0.05,-85.72466607572278,523
1750,0.05,-79.3215869239764,399
2000,0.05,-75.94847411271779,465
2250,0.05,-66.76688986995376,326
2500,0.05,-66.20117378748435,406
2750,0.05,-71.01446052259914,375
3000,0.05,-86.92560193585665,548
3250,0.05,-75.86995300405513,471
3500,0.05,-90.33319313538894,503
3750,0.05,-86.41831839259963,531
4000,0.05,-85.63501576677918,539
4250,0.05,-86.38416205173023,577
4500,0.05,-73.97133434883584,419
4750,0.05,-64.95504544445745,342
5000,0.05,-76.65300718217746,496
5250,0.05,-82.51536823080804,425
5500,0.05,-73.6391658188206,489
5750,0.05,-79.05753544099674,554
6000,0.05,-68.80173170322165,398
6250,0.05,-67.77468802741586,388
6500,0.05,-92.32839869458125,569
6750,0.05,-92.42822502293917,599
7000,0.05,-72.52571467927788,396
7250,0.05,-75.35638182966412,422
7500,0.05,-79.73101785606272,537
7750,0.05,-74.92556928497018,477
8000,0.05,-80.55332562795891,462
8250,0.05,-72.96932545446849,457
8500,0.05,-71.55907023107271,390
8750,0.05,-72.8423300051271,410
9000,0.05,-84.01070483601137,460
9250,0.05,-89.54783241112402,555
9500,0.05,-74.73602805265831,474
9750,0.05,-81.50859130045906,519
10000,0.05,-66.34986794590895,480
10250,0.05,-74.13753364065312,483
10500,0.05,-77.32020038598151,383
10750,0.05,-86.90042802786706,484
11000,0.05,-74.68361510120377,456
11250,0.05,-83.38637897500315,485
11500,0.05,-75.97575445465726,466
11750,0.05,-86.75389941445782,441
12000,0.05,-71.64363038766591,442
12250,0.05,-82.58628221856107,538
12500,0.05,-84.55969585853313,592
12750,0.05,-72.34475692014463,409
13000,0.05,-89.36014068452997,422
13250,0.05,-72.71106158793964,397
13500,0.05,-73.5168465149828,501
13750,0.05,-82.21798124558578,567
14000,0.05,-77.76948631432735,445
14250,0.05,-85.1298929535358,504
14500,0.05,-80.77162622722997,521
14750,0.05,-81.54971031358728,449
15000,0.05,-77.40821985815624,474
15250,0.05,-71.33545154129304,416
15500,0.05,-74.0064250312874,387
15750,0.05,-87.85978190896166,618
16000,0.05,-68.39464025500234,438
16250,0.05,-79.84619210717084,523
16500,0.05,-81.35522889635847,464
16750,0.05,-80.18875845771501,499
17000,0.05,-80.88415652783759,522
17250,0.05,-65.92846547589738,333
17500,0.05,-86.30085782704678,628
17750,0.05,-68.83793750866134,356
18000,0.05,-71.25469086851183,384
18250,0.05,-87.8589901415367,600
18500,0.05,-77.77628657045545,433
18750,0.05,-77.94473047438714,441
19000,0.05,-76.89202698865714,386
19250,0.05,-69.38029959650493,396
19500,0.05,-83.86775764567923,493
19750,0.05,-73.93969032142685,452
20000,0.05,-77.09041995872012,473
20250,0.05,-87.54769789997192,576
20500,0.05,-80.99761463038998,464
20750,0.05,-83.9443611982749,504
21000,0.05,-76.6518523163637,477
21250,0.05,-83.9931975955512,600
21500,0.05,-76.17996884822486,486
21750,0.05,-63.434554822924476,424
22000,0.05,-77.53305837091877,414
22250,0.05,-68.46093323167656,401
22500,0.05,-73.43231633334655,457
22750,0.05,-82.62281612885356,473
23000,0.05,-80.79259145662716,462
23250,0.05,-74.92519116633954,476
23500,0.05,-84.58423910083098,586
23750,0.05,-87.63830409208339,519
24000,0.05,-80.25350445949778,551
24250,0.05,-78.69931598256191,413
24500,0.05,-76.10875683962924,473
24750,0.05,-75.18598685496669,440
25000,0.05,-81.44344677310848,534
25250,0.05,-78.42614549905653,519
25500,0.05,-74.24330685066518,402
25750,0.05,-77.47169609171146,409
26000,0.05,-77.65641735737611,435
26250,0.05,-79.70182833845833,565
26500,0.05,-72.56413304103121,416
26750,0.05,-85.00944726202239,533
27000,0.05,-81.63239371375212,432
27250,0.05,-73.98809197978808,361
27500,0.05,-69.13662622359729,432
27750,0.05,-70.82125890242557,473
28000,0.05,-86.23349156085057,526
28250,0.05,-77.55622648899292,451
28500,0.05,-88.74725109809941,473
28750,0.05,-63.31593462767121,394
29000,0.05,-72.7010389088997,458
