timesteps,lambda_rate,episode_reward,tardiness
500,0.05,-135.35698062563617,841
1000,0.05,-118.9295802394495,735
1500,0.05,-128.86032552023468,646
2000,0.05,-122.56563658415745,709
2500,0.05,-116.43437848399701,679
3000,0.05,-146.46245394536354,940
3500,0.05,-136.5406258826164,800
4000,0.05,-138.12700730714946,730
4500,0.05,-130.52466728047304,643
5000,0.05,-127.99842839632295,693
5500,0.05,-130.5559417721463,736
6000,0.05,-160.04257570893617,804
6500,0.05,-134.56397154572034,728
7000,0.05,-137.28188878498804,849
7500,0.05,-146.9133346540941,818
8000,0.05,-121.44930080500156,728
8500,0.05,-142.0260279659825,803
9000,0.05,-124.79015345386429,767
9500,0.05,-145.71254670685292,732
10000,0.05,-147.49064627270087,751
10500,0.05,-155.29876630055892,832
11000,0.05,-124.65737308619634,643
11500,0.05,-137.02602653794534,772
12000,0.05,-123.97304613983307,734
12500,0.05,-136.60895282755166,681
13000,0.05,-128.5799102696574,726
13500,0.05,-137.7662037728273,754
14000,0.05,-107.65505911919435,658
14500,0.05,-130.91904867046847,726
15000,0.05,-131.3822394505583,666
15500,0.05,-125.29369236377126,603
16000,0.05,-133.26116867846565,740
16500,0.05,-124.85010595948874,747
17000,0.05,-143.4006787813924,680
17500,0.05,-124.95735627250865,594
18000,0.05,-113.61046035363754,786
18500,0.05,-129.91128804280447,694
19000,0.05,-133.23299369212967,723
19500,0.05,-119.15915524752658,667
20000,0.05,-117.39126609421434,648
20500,0.05,-142.29105022235626,732
21000,0.05,-136.90352504540783,700
21500,0.05,-130.1719625630833,716
22000,0.05,-121.92618127389468,607
22500,0.05,-136.9971038755209,776
23000,0.05,-123.60669461801696,778
23500,0.05,-125.36552413717702,759
24000,0.05,-125.17490357691905,738
24500,0.05,-122.12828920484884,734
25000,0.05,-128.32916174349964,640
25500,0.05,-136.30449238660904,735
26000,0.05,-116.81877760491672,636
26500,0.05,-141.3173433194855,695
27000,0.05,-123.75396347132109,811
27500,0.05,-124.46436964510917,708
28000,0.05,-132.3189277933608,673
28500,0.05,-130.6798995479626,740
29000,0.05,-137.4406383072731,796
29500,0.05,-121.57409655748506,673
30000,0.05,-135.7568986860283,670
30500,0.05,-116.22108860699154,701
31000,0.05,-111.87368497455563,715
31500,0.05,-118.40743718007144,817
32000,0.05,-119.33440267760241,615
32500,0.05,-146.23295623381279,770
